Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604901,-0.487761,-2.46789,-3.51674,-1.13516,3.12142,2.33359,0.728671,1.53061
1463604903,-0.237756,-2.51692,-2.28638,-0.260567,3.28338,2.62913,0.0971712,1.48081
1463604905,0.0413313,-2.26051,-1.51665,0.0398786,3.20587,3.07369,1.2079,1.91147
1463604907,0.103243,-2.3384,-1.56588,-0.305764,2.95509,2.80482,1.57825,2.22026
1463604909,0.303551,-2.54789,-1.64998,-0.476422,3.24502,2.7603,0.963979,1.14857
1463604911,0.309853,-2.62599,-2.13238,-0.658988,3.09215,2.92805,1.74935,1.89698
1463604913,-0.333079,-2.79448,-2.39757,-0.335166,3.12843,2.92176,1.2223,1.57181
1463604915,-0.91542,-2.62538,-2.63421,-0.518304,3.1521,2.62073,1.91,1.51772
1463604917,-0.584189,-2.3438,-2.24144,0.530487,2.86241,2.55249,1.53503,2.28136
1463604919,-0.35729,-1.62188,-3.11978,0.231116,3.00437,2.64813,1.39585,2.24287
1463604921,0.463738,-1.94567,-3.78731,-0.46664,3.03024,2.69812,0.499289,2.08212
1463604923,1.04555,-2.11049,-3.69452,-0.65171,2.68614,2.80451,0.309241,1.31108
1463604925,0.680836,-1.37385,-3.56623,-0.663296,2.42761,2.70657,0.826573,1.80701
1463604927,0.272339,-1.56875,-2.85378,-0.928243,2.67479,2.75219,0.746861,1.33935
1463604929,0.344279,-2.01586,-3.43453,-0.99348,2.78253,2.20027,0.889841,0.982402
1463604931,-0.469486,-1.9323,-3.03298,-0.820285,2.57535,3.14488,0.891721,0.608869
1463604933,0.355311,-1.83812,-3.54035,-1.1225,2.46004,2.95639,1.14707,1.19554
1463604935,-0.898266,-2.23394,-3.10256,-1.43048,2.39787,2.62531,0.977605,2.55605
1463604937,-0.901821,-2.76666,-2.99087,-0.977187,2.65273,2.52723,0.668887,2.21284
1463604939,-0.431368,-2.7101,-3.48894,-1.02577,1.87635,2.97268,-0.0638979,1.03727
1463604941,-0.469951,-2.47959,-3.26686,-1.45862,2.05016,3.06279,-0.578617,1.08757
1463604943,-0.726705,-2.43351,-3.113,-1.80409,1.93163,3.1235,0.081798,1.07889
1463604945,-0.988855,-2.9755,-2.88565,-1.067,2.24047,2.98424,0.90076,1.17973
1463604947,-1.62793,-3.00939,-1.62704,-1.21105,2.28056,3.43843,1.76927,1.90479
1463604949,-1.76199,-2.87217,-2.07857,-1.31479,2.24132,3.3954,1.25487,1.65502
1463604951,-1.47791,-2.55061,-2.50178,-1.26496,1.97041,3.02089,0.673657,0.188045
1463604953,-1.50667,-2.78901,-3.31441,-1.18414,2.00638,3.29341,0.962553,0.502309
1463604955,-1.1511,-2.89123,-2.27913,-0.66237,1.94981,2.97973,0.635962,0.71608
1463604957,-0.810021,-2.60908,-1.31277,-0.672697,1.73295,2.71361,0.939095,0.843804
1463604959,-1.01507,-2.47495,-0.599982,-0.593562,2.03284,2.90165,0.741704,1.05133
1463604961,-1.00209,-3.04532,-0.601562,-0.928478,2.22253,3.09797,0.959734,1.7403
1463604963,-0.743733,-2.83117,-1.01072,-0.564779,2.54203,3.1784,2.40302,2.2127
1463604965,-1.01023,-2.54272,-1.16736,-0.835927,2.70483,3.40248,2.22802,2.16205
1463604967,-1.2229,-2.71407,-1.0555,-1.68358,2.6577,3.32104,2.21901,1.94193
1463604969,-1.66862,-2.74772,-1.22608,-0.47832,2.77487,3.28276,1.521,1.28713
1463604971,-1.70163,-3.03852,-1.14451,-0.510044,3.38768,3.57668,1.34203,2.03746
1463604973,-1.97477,-2.93375,-1.53837,-0.688542,3.54555,3.02638,0.787871,1.81686
1463604975,-0.807417,-3.05104,-0.917995,-0.164491,3.07819,3.16267,1.28817,2.15688
1463604977,-0.553945,-3.53492,-1.8597,-0.597107,3.13261,3.07872,1.87708,2.87194
1463604979,-0.757682,-3.45341,-2.40938,-0.266153,3.08623,3.03294,1.13975,2.92322
1463604981,-1.20227,-3.56456,-3.07319,-0.961053,2.99796,2.78493,1.06274,2.34831
1463604983,-1.50855,-3.27594,-2.97198,-0.972938,2.3442,2.81812,0.682513,1.94787
1463604985,-1.4172,-3.28787,-1.31922,-1.22781,2.22238,2.85732,1.46607,2.20006
1463604987,-1.55589,-3.34054,-1.44967,-1.45247,2.29531,2.91746,1.44093,1.64527
